"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cacna1c",0.0630754917206994,-0.679827465421008,0.255,0.298,1
"Calr",0.0690151254305438,0.415169798332391,0.272,0.233,1
"Creb5",0.0710537816373277,-0.22732107859342,0.214,0.265,1
"Pik3r1",0.074831122869412,-0.285384440989028,0.27,0.31,1
"Bnc2",0.0760406549740145,0.5147221402338,0.361,0.334,1
"Ccnd2",0.0843363689840338,0.104877574024136,0.263,0.32,1
"Pkd2",0.0904647263891118,0.207341539215999,0.21,0.252,1
"Ext1",0.0937792309880324,0.457204667004761,0.41,0.386,1
"Mbnl1",0.126817665220764,0.22366116229673,0.274,0.32,1
"Ptn",0.128716137680134,-0.134741703447601,0.238,0.275,1
"Il1rapl1",0.13075886714359,-0.123422697561874,0.257,0.293,1
"Fus",0.131163368427801,-0.37423445353553,0.238,0.272,1
"Gm19951",0.143393904852808,0.584793271796846,0.291,0.27,1
"Syne1",0.147283492267265,-0.120480862520173,0.324,0.363,1
"Cped1",0.149044255073209,0.305575657757471,0.324,0.297,1
"Col6a2",0.149550042223003,0.501196805079719,0.402,0.378,1
"Igfbp4",0.15417846374154,-0.209093349016327,0.227,0.266,1
"Myh11",0.156491676237385,-0.270795592961977,0.307,0.342,1
"Airn",0.186855549557511,-0.104258727520784,0.404,0.449,1
"Kansl1",0.191210017424463,-0.333446382189784,0.223,0.253,1
"Cygb",0.201517259755338,0.50835509783343,0.261,0.3,1
"Hspg2",0.215591813091014,-0.158729956166295,0.328,0.364,1
"Sgcd",0.224170555180701,0.225416450132605,0.27,0.312,1
"Gm47283",0.233305676833127,-0.196097100970625,0.283,0.31,1
"Atrnl1",0.23872932543531,0.42151999930396,0.313,0.353,1
"Elmo1",0.264781937749763,0.173988853214833,0.276,0.313,1
"Tcf12",0.272597758142798,-0.170145349438362,0.259,0.29,1
"Rbfox2",0.272746044932636,0.458586235014392,0.276,0.314,1
"Fbln1",0.297937136826046,0.734147333922378,0.283,0.266,1
"Prkg1",0.305882828253056,0.392631316632658,0.283,0.268,1
"Asap1",0.313786088625626,-0.26815898760542,0.259,0.287,1
"Dennd1a",0.320187059113745,0.183711038873776,0.279,0.314,1
"Mid1",0.320603698970362,0.370786871070541,0.328,0.302,1
"Fstl1",0.327921784964194,0.708593881564733,0.289,0.331,1
"Kcnma1",0.33603886228737,-0.219589224643467,0.261,0.283,1
"App",0.343362875959736,0.24027501208717,0.331,0.364,1
"Pard3",0.362281120691897,-0.339861091720632,0.266,0.285,1
"Prkce",0.364111435282798,0.435136281673401,0.257,0.243,1
"Rabgap1l",0.369748024701224,0.309691996089844,0.276,0.304,1
"Mast4",0.374836063115011,0.233488957135831,0.251,0.279,1
"Jarid2",0.378065325874946,0.814661630292131,0.326,0.316,1
"Filip1l",0.378121545355405,0.153616600477254,0.341,0.367,1
"Cavin1",0.380454894574186,0.99154110120259,0.274,0.268,1
"Magi2",0.380894075827219,0.341798681475368,0.356,0.35,1
"Cdk14",0.38368098334746,0.381609950559661,0.291,0.275,1
"Col5a1",0.39270899143745,0.164078071992861,0.41,0.446,1
"Stag1",0.418497263335842,0.537973656300086,0.261,0.249,1
"Ghr",0.426422874581988,0.333084328701666,0.346,0.344,1
"Pbx1",0.427618917362589,0.212264459501362,0.767,0.826,1
"Tpm1",0.444491011875975,0.186466501589346,0.225,0.253,1
"Ltbp4",0.450410969954757,0.562219438072302,0.361,0.369,1
"Exoc4",0.462631289204391,0.569725847969014,0.235,0.263,1
"Adk",0.477224255965115,0.527393992492492,0.225,0.25,1
"Trps1",0.477303515240329,0.119970579126996,0.328,0.351,1
"Naaladl2",0.487109600676597,-0.104573443041405,0.445,0.444,1
"Commd1",0.542350346532577,-0.25257886433697,0.287,0.313,1
"Meis1",0.553398312741969,0.163006289505955,0.391,0.426,1
"Ptma",0.573113318201175,0.110738290864309,0.235,0.252,1
"Lpp",0.588669596779287,0.338994306561571,0.343,0.365,1
"Clec3b",0.649078881787047,0.132888901474185,0.235,0.251,1
"Pam",0.65560085628966,0.821891835830192,0.33,0.337,1
"Sparc",0.65940102222355,0.172944509920721,0.652,0.675,1
"Tns1",0.685225328461037,0.31042949583583,0.285,0.302,1
"Utrn",0.693957546632964,0.274095594804838,0.307,0.325,1
"Sox5",0.708916829744626,0.610317544739903,0.27,0.301,1
"Tcf4",0.719113773170069,0.243385107362797,0.404,0.427,1
"Gnas",0.726525195852006,0.281149165308291,0.363,0.365,1
"Gulp1",0.74890990874485,0.169647503949157,0.315,0.313,1
"Rbpms",0.764752282704132,0.559747767739197,0.283,0.295,1
"Samd4",0.767422617792362,-0.213541785793868,0.304,0.315,1
"Nfix",0.774281719124519,0.258637849656148,0.421,0.449,1
"Foxp2",0.805089668522428,0.513432641881051,0.268,0.268,1
"Tnrc6b",0.861909744292229,0.398440277229175,0.291,0.294,1
"Zeb2",0.864744042315655,0.241613722029123,0.274,0.285,1
"Rbms1",0.87557891232791,0.130707498972205,0.374,0.38,1
"Ank2",0.881359036756109,0.457340082747376,0.404,0.424,1
"Sv2c",0.884860405601467,0.103327704162185,0.479,0.497,1
"Gpc6",0.896447193257528,0.454780621809645,0.406,0.416,1
"Meg3",0.899652837443661,-0.189615245488757,0.333,0.34,1
"Ar",0.905681680542462,0.171754972695034,0.298,0.308,1
"Itm2b",0.92665919521293,0.32957019323784,0.339,0.35,1
"mt-Co1",0.953008367120897,0.733569998900463,0.266,0.281,1
"Mmp14",0.98289983666903,0.581529977820912,0.287,0.301,1
"Dpt",0.983191368609947,0.232811832181214,0.641,0.687,1
"Adamts2",0.997323467556183,0.697039359349801,0.25,0.258,1
